(:	2.2	1.16619	[3, 1, 1, 2, 1, 2, 4, 3, 4, 1]

(: 0	2.4	1.11355	[0, 2, 3, 4, 3, 2, 3, 3, 1, 3]

(: <	-0.2	2.03961	[-2, -3, 1, 1, 2, -1, 2, 1, -4, 1]

(: O	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]

(: O	2.5	0.92195	[3, 3, 1, 3, 3, 1, 2, 2, 4, 3]

(;	1.1	1.22066	[3, 1, 1, -1, 1, 2, 2, -1, 1, 2]

(; <	0.3	1.00499	[1, 2, -1, -1, 0, 0, 1, -1, 1, 1]

(=	2.2	1.16619	[3, 1, 2, 2, 1, 1, 4, 3, 4, 1]

(?:	2.1	0.83066	[2, 2, 1, 3, 2, 2, 4, 1, 2, 2]

(^:	1.5	0.67082	[1, 2, 2, 1, 3, 2, 1, 1, 1, 1]

(^;	1.5	0.5	[1, 2, 2, 1, 2, 1, 2, 1, 1, 2]

(^; 0	2.0	0.7746	[2, 2, 1, 2, 1, 4, 2, 2, 2, 2]

(^ O	1.9	0.83066	[2, 2, 1, 2, 1, 4, 2, 1, 2, 2]

(O:	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]

) ':	-2.0	0.44721	[-2, -2, -2, -2, -1, -3, -2, -2, -2, -2]

) - ':	-2.1	0.53852	[-2, -2, -3, -2, -1, -2, -3, -2, -2, -2]

) -:	-2.1	0.9434	[-3, -2, -4, -1, -3, -2, -2, -2, -1, -1]

) -: <	-2.2	0.4	[-2, -2, -2, -2, -2, -2, -3, -3, -2, -2]

) -: {	-2.1	0.9434	[-1, -3, -2, -1, -2, -2, -3, -4, -1, -2]

):	-1.8	0.87178	[-1, -3, -1, -2, -1, -3, -1, -3, -1, -2]

): <	-1.9	0.53852	[-1, -3, -2, -2, -2, -1, -2, -2, -2, -2]

): {	-2.3	0.78102	[-1, -2, -3, -3, -2, -2, -4, -2, -2, -2]

); <	-2.6	0.8	[-2, -2, -2, -3, -2, -3, -2, -2, -4, -4]

*)	0.6	1.42829	[1, -1, 1, -3, 1, 1, 2, 1, 1, 2]

* -)	0.3	1.61555	[1, -3, -2, 2, 1, 1, -1, 2, 1, 1]

* -:	2.1	1.51327	[2, 2, 4, 4, 2, 1, -1, 4, 1, 2]

* -;	2.4	1.62481	[2, 3, 4, 4, 2, 1, -1, 4, 1, 4]

*:	1.9	1.04403	[2, 1, 1, 3, 1, 2, 4, 3, 1, 1]

* <| :-)	1.6	1.28062	[0, 1, 3, 1, 1, 2, 3, 0, 4, 1]

* \ 0 / *	2.3	1.00499	[2, 0, 3, 1, 3, 3, 2, 3, 3, 3]

* ^:	1.6	1.42829	[2, 2, 1, 3, 2, 2, 3, 3, -1, -1]

, -:	1.2	0.4	[1, 1, 2, 1, 1, 1, 1, 1, 2, 1]

---'-; - {@	2.3	1.18743	[0, 1, 3, 4, 2, 3, 2, 2, 2, 4]

- <- <@	2.2	1.249	[0, 1, 2, 4, 2, 1, 3, 2, 3, 4]

.-:	-1.2	0.4	[-1, -1, -1, -1, -1, -1, -2, -1, -2, -1]

.. ### -:	-1.7	0.78102	[-2, -3, -3, -2, -1, -1, -1, -1, -1, -2]

.. ###:	-1.9	1.04403	[-4, -1, -3, -1, -2, -2, -1, -3, -1, -1]

/ -:	-1.3	0.64031	[-1, -1, -1, -1, -1, -1, -1, -2, -3, -1]

/:	-1.3	0.45826	[-2, -1, -1, -1, -2, -1, -1, -2, -1, -1]

/: <	-1.4	0.4899	[-1, -2, -2, -1, -1, -1, -1, -1, -2, -2]

/ =	-0.9	0.53852	[-1, -1, -1, 0, -1, -2, -1, -1, -1, 0]

/ ^:	-1.0	0.7746	[-2, -1, -2, 1, -1, -1, -1, -1, -1, -1]

/ O:	-1.4	0.66332	[0, -2, -1, -1, -2, -2, -1, -2, -1, -2]

0-8	0.1	1.44568	[2, -1, -2, 0, 2, 0, 2, 0, -2, 0]

0- |	-1.2	0.4	[-2, -1, -1, -1, -1, -1, -1, -1, -2, -1]

0 :)	1.9	1.04403	[2, 2, 2, 1, 0, 2, 4, 1, 3, 2]

0 :-)	1.4	0.91652	[2, 1, 0, 1, 2, 3, 2, 1, 2, 0]

0: -3	1.5	0.92195	[2, 1, 0, 2, 2, 3, 2, 1, 2, 0]

00h03	1.9	1.22066	[2, 3, 2, 0, 0, 1, 4, 2, 3, 2]

0; ^)	1.6	0.91652	[0, 1, 3, 1, 2, 1, 2, 1, 2, 3]

0_o	-0.3	0.78102	[0, -2, 0, 1, 0, 0, -1, 0, -1, 0]

10q	2.1	1.22066	[1, 3, 1, 2, 1, 4, 3, 4, 1, 1]

1337	2.1	1.13578	[3, 1, 4, 0, 2, 3, 1, 2, 2, 3]

143	3.2	0.74833	[4, 4, 2, 3, 2, 3, 4, 3, 4, 3]

1432	2.6	0.8	[4, 3, 3, 2, 2, 4, 2, 2, 2, 2]

14aa41	2.4	0.91652	[3, 2, 2, 4, 2, 2, 1, 2, 4, 2]

182	-2.9	1.3	[-4, 0, -3, -3, -1, -3, -4, -4, -4, -3]

187	-3.1	1.22066	[-4, 0, -4, -3, -2, -4, -3, -3, -4, -4]

2g2b4g	2.8	0.6	[4, 2, 3, 2, 3, 3, 3, 3, 2, 3]

2g2bt	-0.1	1.57797	[-1, 2, -1, 1, 0, 2, 0, -3, -2, 1]

2QT	2.1	0.83066	[3, 3, 3, 3, 2, 1, 2, 1, 2, 1]

3 :(	-2.2	0.87178	[-4, -3, -2, -3, -2, -1, -1, -2, -2, -2]

3 :)	0.5	1.28452	[-2, 1, -2, 1, 1, 1, 1, 2, 1, 1]

3 :-(	-2.3	0.78102	[-2, -3, -2, -2, -2, -2, -4, -1, -3, -2]

3 :-)	-1.4	1.35647	[-1, -2, 1, 1, -2, -2, -3, -1, -3, -2]

4COL	-2.2	1.16619	[-2, -3, -1, -3, -4, -1, -2, -1, -4, -1]

4Q	-3.1	1.51327	[-3, -3, -4, -2, -4, -4, -4, 1, -4, -4]

5 fs	1.5	1.11803	[1, 2, 1, 1, 2, 3, 2, 3, -1, 1]

8)	1.9	0.7	[2, 2, 2, 1, 1, 2, 2, 3, 3, 1]

8-d	1.7	0.64031	[1, 2, 0, 2, 2, 2, 2, 2, 2, 2]

8-o	-0.3	0.78102	[1, -1, 0, 0, 0, -1, 0, -2, 0, 0]

86	-1.6	1.0198	[-1, -1, -1, -1, -1, -4, -1, -2, -1, -3]

8D	2.9	0.53852	[3, 3, 4, 2, 3, 3, 3, 3, 2, 3]

: ### ..	-2.4	0.91652	[-3, -2, -4, -3, -1, -2, -2, -3, -1, -3]

: $	-0.2	1.83303	[-2, -1, 0, 0, -1, 1, 4, -3, 1, -1]

: &	-0.6	1.0198	[-2, -1, 0, 0, -1, -1, 1, -2, 1, -1]

: '(	-2.2	0.74833	[-2, -1, -2, -2, -2, -2, -4, -3, -2, -2]

: ')	2.3	0.78102	[3, 1, 3, 2, 2, 2, 2, 4, 2, 2]

: '- (	-2.4	0.66332	[-2, -1, -2, -3, -2, -3, -3, -3, -2, -3]

: '-)	2.7	0.64031	[2, 1, 3, 3, 3, 3, 3, 3, 3, 3]

:(	-1.9	1.13578	[-2, -3, -2, 0, -1, -1, -2, -3, -1, -4]

:)	2.0	1.18322	[2, 2, 1, 1, 1, 1, 4, 3, 4, 1]

: *	2.5	1.0247	[3, 2, 1, 1, 2, 3, 4, 3, 4, 2]

: - ### ..	-2.5	0.92195	[-3, -2, -3, -2, -4, -3, -1, -3, -1, -3]

: - &	-0.5	0.92195	[-1, -1, 0, -1, -1, -1, -1, 0, 2, -1]

:-(	-1.5	0.5	[-2, -1, -1, -1, -2, -2, -2, -1, -2, -1]

:-)	1.3	0.45826	[1, 1, 1, 1, 2, 1, 2, 1, 2, 1]

:-))	2.8	1.07703	[3, 4, 4, 1, 2, 2, 4, 2, 4, 2]

: - *	1.7	0.64031	[1, 2, 1, 1, 1, 3, 2, 2, 2, 2]

: -,	1.1	0.53852	[1, 1, 1, 0, 1, 1, 1, 1, 2, 2]

: -.	-0.9	0.53852	[-1, -1, 0, -1, 0, -1, -1, -1, -2, -1]

: - /	-1.2	0.6	[0, -1, -1, -1, -1, -2, -2, -1, -1, -2]

: - <	-1.5	0.5	[-2, -1, -1, -2, -1, -2, -2, -1, -2, -1]

:-re	2.3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]

:-Re	2.3	0.45826	[2, 2, 3, 3, 2, 3, 2, 2, 2, 2]

: -o	0.1	1.3	[2, -1, -2, 0, 1, 1, 2, 0, -1, -1]

:-p	1.2	0.4	[1, 2, 1, 1, 1, 1, 2, 1, 1, 1]

: - [	-1.6	0.4899	[-1, -2, -1, -2, -2, -1, -2, -1, -2, -2]

: - \	-0.9	0.3	[-1, -1, -1, -1, -1, -1, -1, 0, -1, -1]

: -c	-1.3	0.45826	[-1, -1, -1, -2, -2, -1, -2, -1, -1, -1]

:-p	1.5	0.5	[1, 1, 1, 1, 1, 2, 2, 2, 2, 2]

: - |	-0.7	0.64031	[-1, -1, 0, 0, 0, -1, -1, -2, 0, -1]

: - ||	-2.5	0.67082	[-2, -2, -2, -3, -2, -3, -3, -2, -2, -4]

: -eme	0.9	1.04403	[1, -1, 1, 2, 1, -1, 1, 2, 2, 1]

: /	-1.4	0.66332	[-1, -1, -1, -1, -1, -1, -3, -2, -2, -1]

: 3	2.3	1.26886	[4, 1, 1, 1, 2, 2, 4, 3, 4, 1]

: <	-2.1	0.7	[-3, -1, -2, -2, -2, -2, -3, -3, -2, -1]

:>	2.1	1.22066	[3, 1, 1, 1, 1, 2, 4, 3, 4, 1]

:?)	1.3	0.64031	[3, 1, 1, 1, 1, 2, 1, 1, 1, 1]

: C	-1.6	0.4899	[-1, -2, -1, -1, -2, -2, -1, -2, -2, -2]

: @	-2.5	0.80623	[-1, -3, -3, -2, -1, -3, -3, -3, -3, -3]

:re	2.3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]

:Re	2.3	1.1	[4, 2, 2, 1, 2, 1, 4, 3, 3, 1]

: l	-1.7	0.9	[-1, -3, -1, -1, -1, -3, -2, -3, -1, -1]

: o	-0.4	1.35647	[2, -1, -2, 0, 1, 0, -3, 0, -1, 0]

: p	1.0	0.7746	[-1, 1, 1, 1, 1, 1, 2, 1, 2, 1]

: s	-1.2	0.9798	[-2, -2, -1, -1, -1, 1, -3, -1, -1, -1]

: [	-2.0	0.63246	[-2, -2, -1, -2, -2, -3, -3, -2, -1, -2]

: \	-1.3	0.45826	[-2, -1, -1, -1, -1, -1, -2, -1, -1, -2]

:]	2.2	1.16619	[3, 1, 1, 1, 3, 1, 4, 2, 2, 4]

: ^)	2.1	1.13578	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]

: ^ *	2.6	0.91652	[2, 1, 2, 3, 4, 4, 3, 2, 3, 2]

: ^ /	-1.2	0.6	[-2, -1, -2, 0, -1, -1, -1, -1, -2, -1]

: ^ \	-1.0	0.44721	[-1, -1, -1, -1, -1, -2, 0, -1, -1, -1]

: ^ |	-1.0	0.0	[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]

: c	-2.1	0.83066	[-3, -2, -1, -2, -2, -1, -3, -3, -3, -1]

: C)	2.0	1.18322	[2, 1, 1, 1, 1, 2, 3, 4, 4, 1]

: O)	2.1	0.9434	[1, 3, 3, 1, 1, 3, 2, 3, 1, 3]

: O /	-1.4	0.4899	[-1, -1, -1, -2, -1, -1, -2, -2, -1, -2]

: O \	-1.1	0.3	[-1, -1, -1, -2, -1, -1, -1, -1, -1, -1]

: O |	-0.6	1.0198	[0, 0, 0, 0, -1, 0, 0, -3, 0, -2]

: P	1.4	0.8	[3, 1, 0, 2, 1, 1, 2, 2, 1, 1]

: {	-1.9	0.83066	[-2, -1, -1, -2, -2, -1, -3, -3, -3, -1]

: |	-0.4	1.11355	[-1, -1, 0, -1, -1, -1, 1, -2, 2, 0]

:}	2.1	1.22066	[3, 1, 1, 1, 2, 1, 4, 3, 4, 1]

: Þ	1.1	0.53852	[1, 1, 1, 1, 0, 1, 1, 2, 2, 1]

;)	0.9	1.04403	[2, -1, 1, 1, 1, 1, -1, 2, 2, 1]

;-)	1.0	1.73205	[1, -2, 1, -2, 1, 4, 2, 1, 2, 2]

; - *	2.2	0.74833	[2, 2, 1, 3, 4, 2, 2, 2, 2, 2]

; -]	0.7	1.67631	[1, -2, 1, -3, 1, 2, 2, 1, 2, 2]

;re	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]

;Re	0.8	1.249	[2, -1, 2, 1, 1, 1, -2, 2, 1, 1]

;]	0.6	1.11355	[1, -1, 1, 1, 1, 1, -2, 2, 1, 1]

; ^)	1.4	0.91652	[2, 2, 1, 2, 1, 2, -1, 1, 2, 2]

</ 3	-3.0	1.0	[-3, -3, -4, -3, -4, -1, -2, -2, -4, -4]

<3	1.9	1.13578	[3, 2, 1, 3, 1, 4, 2, 0, 1, 2]

<:	2.1	1.13578	[3, 2, 4, 1, 1, 1, 1, 2, 4, 2]

<: - |	-1.4	0.66332	[-1, -1, -1, -2, -2, -1, -3, -1, -1, -1]

=)	2.2	1.16619	[4, 2, 3, 3, 2, 1, 1, 4, 1, 1]

= -3	2.0	0.63246	[2, 2, 2, 3, 1, 3, 1, 2, 2, 2]

= -d	2.4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]

= D	2.4	0.91652	[2, 2, 1, 3, 2, 4, 2, 4, 2, 2]

= /	-1.4	0.91652	[-1, -1, -1, -1, -1, -2, -1, -1, -4, -1]

= 3	2.1	0.7	[3, 1, 2, 1, 2, 3, 2, 2, 3, 2]

= d	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]

= D	2.3	0.45826	[3, 2, 2, 2, 2, 3, 2, 2, 2, 3]

= l	-1.2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]

= \	-1.2	0.6	[-2, -1, -1, 0, -2, -1, -2, -1, -1, -1]

=]	1.6	0.8	[2, 1, 3, 1, 1, 1, 2, 3, 1, 1]

= p	1.3	0.9	[2, 1, 2, 1, 2, -1, 1, 2, 2, 1]

= |	-0.8	0.87178	[-2, -1, -2, 1, 0, -1, 0, -1, -1, -1]

> -:	-2.0	0.89443	[-2, -3, -2, -4, -1, -1, -1, -2, -2, -2]

>. <	-1.3	0.45826	[-1, -2, -1, -2, -2, -1, -1, -1, -1, -1]

>:	-2.1	1.13578	[-4, -1, -1, -4, -2, -3, -1, -1, -2, -2]

> :(	-2.7	0.64031	[-2, -3, -2, -3, -3, -2, -4, -2, -3, -3]

> :)	0.4	1.42829	[1, 1, 2, 1, -1, -2, 1, 2, -2, 1]

> :-(	-2.7	0.78102	[-3, -2, -3, -2, -4, -2, -3, -2, -2, -4]

> :-)	-0.4	1.68523	[1, 2, 1, -2, -2, -1, -1, -3, -1, 2]

>: /	-1.6	0.8	[-1, -2, -1, -3, -1, -1, -1, -1, -2, -3]

>: O	-1.2	1.16619	[-3, -1, -2, 0, -2, -2, 0, -1, 1, -2]

>: P	1.0	0.7746	[-1, 1, 1, 2, 1, 2, 1, 1, 1, 1]

>: [	-2.1	0.53852	[-2, -2, -2, -2, -3, -3, -2, -1, -2, -2]

>: \	-1.7	0.64031	[-1, -2, -1, -2, -2, -3, -1, -1, -2, -2]

>; (	-2.9	0.7	[-3, -4, -3, -2, -2, -3, -3, -3, -2, -4]

>;)	0.1	1.04403	[-1, 1, 0, -1, 2, 0, -1, 1, 1, -1]

> _> ^	2.1	0.9434	[2, 2, 1, 4, 3, 2, 1, 3, 1, 2]

@:	-2.1	0.9434	[-3, -2, -3, -1, -2, -4, -1, -2, -1, -2]

@> -> -	2.1	1.22066	[1, 1, 0, 2, 4, 2, 4, 2, 3, 2]

@} -; -'---	2.2	1.32665	[0, 1, 3, 2, 1, 4, 4, 1, 3, 3]

aas	2.5	0.80623	[2, 3, 3, 4, 1, 2, 3, 2, 2, 3]

aayf	2.7	0.78102	[2, 3, 2, 4, 3, 2, 2, 3, 4, 2]

AFU	-2.9	0.83066	[-3, -3, -3, -3, -3, -1, -4, -4, -2, -3]

Al Ol	2.8	0.74833	[2, 2, 2, 3, 3, 2, 3, 4, 4, 3]

ambw	2.9	0.7	[2, 3, 4, 2, 3, 2, 3, 3, 4, 3]

aml	3.4	0.66332	[4, 3, 2, 4, 3, 3, 4, 4, 3, 4]

un onglet	-1.9	1.22066	[-2, 0, -1, -2, -1, -1, -2, -4, -4, -2]

absent	-1.3	0.78102	[0, -1, -1, -1, -1, -1, -2, -2, -3, -1]

AYC	0.2	0.9798	[0, 1, -1, 1, 0, 1, 0, -1, 2, -1]

ayor	-1.2	0.6	[-1, -1, -2, -2, -1, -1, -1, 0, -2, -1]

aug-00	0.3	1.18743	[2, 0, -2, 0, 0, 1, -1, 2, 1, 0]

BFD	-2.7	0.78102	[-3, -2, -4, -2, -3, -2, -3, -2, -4, -2]

BFE	-2.6	1.35647	[-3, -3, -4, -2, -3, -2, 1, -3, -4, -3]

BFF	2.9	0.83066	[3, 3, 4, 2, 4, 2, 2, 3, 4, 2]

bffn	1.0	0.89443	[2, 1, -1, 1, 0, 1, 2, 1, 2, 1]

bl	2.3	1.1	[2, 1, 4, 1, 2, 2, 4, 3, 1, 3]

BSOD	-2.2	1.07703	[-1, -4, -3, -3, 0, -2, -3, -2, -2, -2]

bts	-2.1	0.83066	[-1, -2, -3, -3, -3, -1, -3, -2, -1, -2]

BTDT	-0.1	1.22066	[0, -1, 0, -1, 0, 3, 1, -1, -1, -1]

bz	0.4	1.35647	[-1, 0, 0, 0, 4, 1, -1, 1, 0, 0]

b ^ d	2.6	0.8	[3, 2, 2, 4, 3, 1, 3, 3, 3, 2]

cwot	-2.3	0.45826	[-3, -2, -2, -2, -2, -3, -2, -3, -2, -2]

re-':	-2.5	0.67082	[-3, -3, -2, -2, -2, -4, -2, -3, -2, -2]

d8	-3.2	0.6	[-3, -3, -3, -3, -4, -4, -2, -3, -3, -4]

re:	-2.9	0.83066	[-3, -3, -3, -3, -2, -4, -1, -3, -3, -4]

d: <	-3.2	0.9798	[-4, -4, -4, -1, -3, -3, -4, -2, -3, -4]

re;	-2.9	0.83066	[-1, -3, -3, -3, -3, -4, -2, -3, -3, -4]

d =	-3.0	0.89443	[-4, -3, -3, -3, -2, -4, -1, -3, -3, -4]

fait une	-2.3	1.00499	[-2, -3, -3, -2, -2, -2, -4, 0, -2, -3]

dx	-3.0	0.63246	[-3, -2, -3, -3, -4, -3, -4, -2, -3, -3]

ez	1.5	0.67082	[3, 2, 2, 1, 1, 1, 2, 1, 1, 1]

fav	2.4	0.91652	[3, 1, 3, 2, 2, 3, 1, 2, 3, 4]

fcol	-1.8	0.74833	[-2, -2, -1, -2, -1, -2, -1, -3, -3, -1]

ff	1.8	1.249	[4, 2, 1, 2, 1, 3, 3, 0, 2, 0]

ffs	-2.8	0.9798	[-2, -2, -3, -3, -2, -4, -4, -4, -1, -3]

FKM	-2.4	1.35647	[-4, -1, -4, -2, -2, -3, -1, 0, -3, -4]

FOAF	1.8	1.249	[2, 1, 2, 0, 4, 1, 1, 1, 2, 4]

FTW	2.0	0.7746	[2, 1, 1, 2, 2, 2, 3, 3, 1, 3]

fu	-3.7	0.45826	[-3, -4, -4, -3, -3, -4, -4, -4, -4, -4]

fubar	-3.0	1.09545	[-4, -3, -3, -4, -3, -3, -3, -4, 0, -3]

FWB	2.5	1.43178	[2, 3, 4, 0, 1, 2, 4, 1, 4, 4]

FYI	0.8	1.66132	[0, 1, 0, -1, 0, 0, 4, 4, 0, 0]

FESE	0.4	0.91652	[0, 0, 0, 1, 0, 3, 0, 0, 0, 0]

g1	1.4	0.4899	[2, 1, 1, 1, 2, 1, 2, 1, 1, 2]

bien joue	1.2	0.74833	[0, 2, 2, 1, 0, 1, 2, 2, 1, 1]

GGA	1.7	0.45826	[2, 2, 1, 2, 2, 1, 2, 2, 1, 2]

gigo	-0.6	1.11355	[-2, -1, 1, 0, 0, 0, -1, -2, -2, 1]

gj	2.0	1.0	[2, 1, 2, 1, 1, 3, 4, 2, 3, 1]

gl	1.3	0.64031	[1, 1, 1, 1, 3, 1, 1, 2, 1, 1]

GLA	2.5	0.92195	[1, 2, 2, 4, 2, 4, 2, 3, 3, 2]

gn	1.2	0.74833	[1, 1, 1, 1, 3, 1, 1, 2, 1, 0]

super	2.7	0.78102	[1, 3, 3, 4, 3, 2, 3, 2, 3, 3]

grrr	-0.4	1.42829	[-2, -1, 0, 1, -2, -1, -1, 3, 0, -1]

gt	1.1	0.53852	[1, 1, 1, 1, 1, 1, 2, 1, 0, 2]

h & k	2.3	0.78102	[2, 2, 2, 3, 4, 2, 3, 2, 1, 2]

hagd	2.2	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]

Hagn	2.2	0.87178	[2, 2, 3, 2, 1, 3, 4, 1, 2, 2]

hago	1.2	0.4	[1, 2, 1, 1, 1, 2, 1, 1, 1, 1]

hak	1.9	0.7	[3, 1, 2, 2, 1, 2, 3, 2, 1, 2]

main	2.2	0.87178	[2, 2, 1, 3, 2, 3, 4, 1, 2, 2]

hho1 / 2k	1.4	1.11355	[1, -1, 2, 3, 1, 1, 1, 2, 3, 1]

hhoj	2.0	1.09545	[4, 2, 1, 1, 2, 1, 1, 4, 2, 2]

hhok	0.9	0.9434	[1, 2, 1, 0, -1, 0, 2, 1, 1, 2]

hugz	2.0	0.7746	[2, 3, 1, 3, 1, 3, 1, 2, 2, 2]

Hi5	1.9	0.53852	[2, 2, 2, 1, 3, 2, 1, 2, 2, 2]

idk	-0.4	0.66332	[0, 0, 0, 0, -1, -2, 0, 0, 0, -1]

ijs	0.7	1.84662	[0, -1, 0, -1, 0, 4, 0, 4, -1, 2]

ilu	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]

iluaaf	2.7	1.1	[3, 3, 3, 2, 3, 0, 4, 3, 2, 4]

il y	3.4	0.66332	[3, 4, 3, 4, 2, 3, 4, 3, 4, 4]

ily2	2.6	0.66332	[3, 2, 3, 2, 3, 2, 3, 4, 2, 2]

iou	0.7	1.34536	[0, 0, -1, 2, 0, 0, 0, 4, 1, 1]

IYQ	2.3	1.18743	[3, 3, 1, 1, 2, 1, 4, 4, 3, 1]

j / j	2.0	1.34164	[4, 1, 1, 1, 1, 4, 4, 1, 2, 1]

j / k	1.6	1.2	[1, 2, 1, 3, 0, 0, 2, 2, 1, 4]

j / p	1.4	0.66332	[1, 1, 0, 2, 1, 2, 2, 2, 1, 2]

j / t	-0.2	1.46969	[1, -1, -1, -2, 1, 1, 2, -2, 1, -2]

j / w	1.0	1.0	[1, 1, 1, 3, 0, 0, 0, 2, 0, 2]

J4F	1.4	0.8	[2, 1, 1, 0, 3, 1, 1, 1, 2, 2]

J4G	1.7	1.18743	[1, 4, 1, 1, 3, 1, 3, 0, 2, 1]

jho	0.8	0.4	[1, 1, 1, 1, 0, 1, 1, 1, 0, 1]

jhomf	1.0	0.63246	[1, 1, 1, 0, 1, 0, 2, 2, 1, 1]

J.-J.	1.0	0.63246	[1, 1, 1, 1, 2, 0, 2, 1, 1, 0]

jk	0.9	1.22066	[1, 0, 0, 1, 0, 0, 2, 1, 4, 0]

jp	0.8	0.74833	[1, 1, 1, 0, 2, 0, 2, 0, 1, 0]

jt	0.9	0.83066	[1, 1, 0, 2, 2, 0, 2, 0, 1, 0]

jw	1.6	1.68523	[3, 0, 0, 0, 0, 0, 3, 4, 2, 4]

jealz	-1.2	0.9798	[-1, -1, -1, 1, -2, -2, -1, -3, -1, -1]

k4y	2.3	1.00499	[2, 1, 1, 2, 4, 2, 3, 4, 2, 2]

kfy	2.3	0.64031	[2, 2, 2, 1, 3, 2, 3, 3, 2, 3]

kia	-3.2	0.6	[-3, -3, -3, -4, -3, -2, -3, -3, -4, -4]

kk	1.5	1.0247	[2, 1, 0, 0, 1, 2, 3, 3, 2, 1]

kmuf	2.2	1.4	[2, 2, 2, 3, 4, 3, -1, 1, 4, 2]

l	2.0	0.7746	[2, 1, 2, 3, 2, 3, 1, 3, 2, 1]

g / D	2.2	0.74833	[3, 2, 2, 3, 1, 3, 1, 3, 2, 2]

laoj	1.3	1.73494	[1, -2, -1, 3, 3, 2, 4, 1, 1, 1]

lmao	2.0	1.18322	[3, 0, 3, 0, 3, 1, 3, 2, 3, 2]

lmbao	1.8	1.77764	[3, 2, 2, 2, 1, 3, -3, 2, 4, 2]

lmfao	2.5	1.28452	[3, 2, 3, 3, 3, -1, 4, 2, 3, 2]

lmso	2.7	0.78102	[3, 3, 4, 3, 3, 1, 3, 3, 2, 2]

lol	2.9	0.83066	[4, 2, 2, 2, 4, 2, 3, 3, 4, 3]

lolz	2.7	0.78102	[2, 3, 3, 2, 2, 4, 4, 3, 2, 2]

c'est	1.6	0.66332	[1, 1, 2, 2, 1, 3, 1, 1, 2, 2]

ly	2.6	0.91652	[2, 2, 1, 3, 4, 4, 3, 2, 2, 3]

